"","year","month","plant_ID","customer_ID","market_code","material_type_ID","booked_tons"
"1",2021,12,1,8,1,1,30441.49
"2",2020,1,1,1,1,1,22086.398
"3",2022,1,1,3,2,1,17825.3965
"4",2021,12,1,16,1,4,15605.837
"5",2019,7,1,1,1,1,15018.765
"6",2022,1,2,4,3,3,14765.5637
"7",2018,3,1,2,2,2,12674.07016
"8",2019,8,1,6,1,1,12281.7095
"9",2022,1,1,2,2,2,11965.46486
"10",2022,1,1,8,1,1,11137.5
"11",2021,1,1,2,2,2,11063.30308
"12",2018,1,2,9,5,4,10708.49
"13",2020,1,1,12,1,1,10603.01
"14",2021,12,1,3,2,1,10132.956
"15",2020,12,1,2,2,2,10009.21437
"16",2018,8,1,2,2,2,9935.257265
"17",2020,10,1,2,2,2,9737.411208
"18",2018,5,1,2,2,2,9716.041691
"19",2020,6,1,6,1,1,9486.6245
"20",2020,9,1,6,1,1,9459.87
"21",2019,1,1,2,2,2,9310.310633
"22",2018,10,1,2,2,2,9259.118185
"23",2021,1,1,3,2,1,9107.255
"24",2021,2,1,3,2,1,9097.588
"25",2021,3,1,3,2,1,9090.2455
"26",2020,12,1,3,2,1,8946.6365
"27",2021,11,1,16,1,4,8649.1615
"28",2020,1,1,5,4,1,8489.454
"29",2018,4,2,9,5,4,8464.15
"30",2020,1,1,6,1,1,8454.462
"31",2021,5,1,2,2,2,8414.475769
"32",2018,1,1,2,2,2,8379.807097
"33",2021,12,1,2,2,2,8283.382246
"34",2022,1,1,3,2,2,8214.5875
"35",2019,7,1,2,2,2,8163.291081
"36",2018,7,1,2,2,2,8146.252699
"37",2021,6,1,3,2,1,8059.751
"38",2022,1,1,14,7,1,7958.665
"39",2019,3,1,2,2,2,7929.379172
"40",2020,7,1,2,2,2,7925.929116
"41",2021,3,1,2,2,2,7757.929025
"42",2021,6,1,2,2,2,7726.926895
"43",2019,10,1,1,1,1,7649.94
"44",2020,12,1,3,2,2,7623.4125
"45",2020,1,1,2,2,2,7514.214469
"46",2021,2,1,3,2,2,7484.484
"47",2020,2,1,1,1,1,7411.8705
"48",2018,8,2,9,5,4,7362.114
"49",2018,3,2,9,5,4,7276.88
"50",2020,6,1,2,2,2,7197.414528
"51",2021,4,1,3,2,1,7172.516
"52",2020,10,1,3,2,1,7136.535
"53",2018,8,1,5,4,1,7092.367
"54",2018,2,1,2,2,2,7069.570828
"55",2021,11,1,3,2,1,7069.082
"56",2021,10,1,3,2,1,6998.1175
"57",2020,9,1,3,2,1,6799.66
"58",2019,6,1,2,2,2,6791.165483
"59",2021,2,1,2,2,2,6790.155205
"60",2018,9,1,2,2,2,6764.797438
"61",2021,8,1,3,2,1,6710.5005
"62",2019,10,1,6,1,1,6556.2655
"63",2020,1,2,15,7,2,6517.75
"64",2020,8,1,3,2,1,6401.352
"65",2018,6,1,2,2,2,6305.554775
"66",2020,9,1,8,1,1,6277.845
"67",2020,4,1,25,1,1,6244.058
"68",2021,7,1,3,2,1,6205.344
"69",2019,5,1,2,2,2,6173.69829
"70",2022,1,4,3,2,1,6143.494
"71",2020,8,1,2,2,2,5988.902177
"72",2018,12,1,2,2,2,5966.452288
"73",2018,11,1,2,2,2,5962.379309
"74",2020,3,1,6,1,1,5913.3075
"75",2020,7,1,3,2,1,5874.033
"76",2021,5,1,3,2,1,5864.84
"77",2018,4,7,37,6,2,5830.276
"78",2021,12,1,3,2,2,5722.723
"79",2018,4,1,2,2,2,5721.008779
"80",2020,10,1,3,2,2,5711.7555
"81",2018,10,1,3,2,1,5708.411
"82",2022,1,7,2,2,2,5635.080628
"83",2020,10,1,1,1,1,5622.721
"84",2020,5,1,18,1,1,5587.7185
