"","year","month","plant_ID","customer_ID","material_type_ID","market_code","final_fc","_2_month_lag_fc","_1_month_lag_fc"
"1",2018,4,1,2,2,2,11611.436,10590.5715,11488.5715
"2",2022,2,1,3,1,2,11555.293,0,0
"3",2021,11,1,3,1,2,11045.557,12339.3285,13012.4565
"4",2022,1,1,3,1,2,10359.361,0,0
"5",2021,6,1,3,1,2,10299.862,11783.2565,12206.2725
"6",2021,10,1,3,1,2,10252.3375,12832.1225,13042.3625
"7",2021,9,1,3,1,2,10149.483,12730.214,13108.314
"8",2018,5,1,2,2,2,9983.108,10108.5,9818
"9",2019,4,1,2,2,2,9586.9645,9648.1795,10233.669
"10",2018,10,1,2,2,2,9539.877,8853.6335,9425.0565
"11",2021,3,1,3,1,2,9527.0045,0,10934.2115
"12",2018,3,1,2,2,2,9438.927,0,9459.5
"13",2022,2,1,2,2,2,9347.6615,0,0
"14",2021,1,1,2,2,2,9322.6545,0,0
"15",2018,1,1,2,2,2,9317.635,0,0
"16",2021,11,1,8,1,1,9210,0,6690
"17",2021,8,1,3,1,2,9128.6125,13353.604,13833.4975
"18",2021,2,1,2,2,2,9078.0255,0,0
"19",2022,1,1,2,2,2,9010.485,0,0
"20",2021,3,1,2,2,2,8804.2915,0,9508.3585
"21",2018,2,1,2,2,2,8786.631,0,0
"22",2021,5,1,3,1,2,8563.2265,12452.3115,12298.606
"23",2019,3,1,2,2,2,8513.3215,0,8817.7785
"24",2019,1,1,2,2,2,8491.3975,0,0
"25",2021,4,1,2,2,2,8482.7785,9624.0135,9196.466
"26",2018,9,1,2,2,2,8363.7435,9101.5,9032.8115
"27",2021,8,1,14,1,7,8229.32,0,3688
"28",2018,6,1,2,2,2,8113.716,9428.5,8842
"29",2018,8,1,2,2,2,8019.3635,9335.5,9183.1155
"30",2020,10,1,2,2,2,7983.5255,7211.421,7729.1805
"31",2021,12,1,3,1,2,7965.1505,10577.204,10730.3845
"32",2019,10,1,1,1,1,7919.3,5675,5675
"33",2018,11,1,2,2,2,7910.143,7673.6205,8487.5265
"34",2021,9,1,14,1,7,7757.945,480,3555
"35",2021,2,1,3,1,2,7653.859,0,0
"36",2021,7,1,3,1,2,7607.4715,13934.8775,14595.3805
"37",2021,11,1,14,1,7,7598.4015,408,2736
"38",2020,1,1,2,2,2,7584.1235,0,0
"39",2019,2,1,2,2,2,7579.6975,0,0
"40",2021,7,1,11,1,1,7545.955,0,3614
"41",2021,4,1,3,1,2,7462.6165,10983.7615,12804.044
"42",2021,7,1,2,2,2,7393.1535,9350.8495,9842.163
"43",2019,7,1,2,2,2,7311.78,6844.478,6638.011
"44",2020,8,1,2,2,2,7311.7255,6272.6685,7092.865
"45",2020,9,1,2,2,2,7250.128,7412.2685,6974.9005
"46",2020,11,1,2,2,2,7219.6735,6778.3835,7038.3935
"47",2021,1,1,3,1,2,7155.0775,0,0
"48",2022,2,1,3,2,2,7121.2155,0,0
"49",2021,6,1,2,2,2,7054.2425,8284.7955,8212.5015
"50",2020,2,1,2,2,2,7041.812,0,0
"51",2018,7,1,2,2,2,6970.1775,8689.5,8339
"52",2021,9,1,2,2,2,6948.4245,9059.1805,8603.1835
"53",2021,11,1,2,2,2,6813.899,7204.131,7189.1475
"54",2020,3,1,5,1,4,6795,0,10555
"55",2021,12,1,14,1,7,6698.79,504,1944
"56",2019,9,1,1,1,1,6665.64,0,7870
"57",2019,5,1,2,2,2,6604.374,6215.744,7098.876
"58",2021,5,1,2,2,2,6444.6485,9673.289,8560.7675
"59",2022,1,1,8,1,1,6429.955,0,0
"60",2021,8,1,2,2,2,6415.8365,9392.5615,9847.9525
"61",2020,12,1,2,2,2,6322.082,5259.021,5290.293
"62",2020,10,1,3,1,2,6260.693,4680.0455,6109.03
"63",2022,1,1,3,2,2,6255.275,0,0
"64",2018,8,1,5,1,4,6241.095,3870,7907
"65",2021,5,1,14,1,7,6185.29,0,320
"66",2019,8,1,2,2,2,6176.182,6360.58,6615.571
"67",2021,6,1,14,1,7,6120.78,0,2448
"68",2022,1,1,14,1,7,6095.505,0,0
"69",2021,2,1,3,2,2,6046.174,0,0
"70",2019,6,1,2,2,2,6039.596,6559.9615,6431.9805
"71",2021,3,1,3,2,2,6039.0495,0,6766.65
"72",2019,10,1,3,1,2,6005.5455,5113.009,5584.809
"73",2021,6,1,7,1,1,5987.115,1560,1560
"74",2020,1,1,6,1,1,5878.327,0,0
"75",2020,11,1,3,1,2,5874.5525,5138.1175,6107.1745
"76",2020,1,1,3,1,2,5859.531,0,0
"77",2020,10,1,6,1,1,5759.2825,2525,7666.5905
"78",2018,1,1,6,1,1,5739,0,0
"79",2019,9,1,2,2,2,5692.1325,7399.146,7880.2805
"80",2021,4,1,13,4,6,5662.24,0,3600
