"","year","month","plant_ID","customer_ID","market_code","material_type_ID","available_tons"
"1",2020,3,4,118,17,12,141.675
"2",2021,3,4,118,17,12,9.095
"3",2020,4,1,118,7,1,360.169
"4",2020,9,4,118,7,1,128.085
"5",2021,2,4,118,7,1,203.485
"6",2021,1,1,369,17,12,316.165
"7",2020,11,1,369,17,12,121.983
"8",2022,1,8,369,17,12,0.2544116
"9",2021,5,10,369,17,11,0.4709424
"10",2020,12,1,369,2,1,0
"11",2021,7,1,369,2,1,22.37
"12",2020,4,1,369,2,1,57.79
"13",2021,6,1,369,2,1,22.37
"14",2022,1,1,369,2,1,22.37
"15",2021,3,1,369,2,1,0
"16",2021,9,7,248,17,12,3.201905
"17",2021,6,1,248,17,12,2.39437285
"18",2021,10,1,248,17,12,0.3913536
"19",2020,4,7,248,12,11,6.534597
"20",2021,6,7,248,12,11,8.38794
"21",2021,9,7,248,12,11,1.74208375
"22",2022,2,7,492,17,12,1830.8635
"23",2022,1,7,492,20,2,0
"24",2021,3,7,492,20,2,3.1725
"25",2021,7,1,439,17,12,40.69
"26",2020,12,1,439,17,12,0
"27",2021,1,1,439,26,1,0
"28",2021,3,1,439,26,1,59.96
"29",2020,11,1,439,26,1,0
"30",2022,1,1,439,26,1,39.93
"31",2020,3,1,20,1,1,666.82
"32",2021,8,1,20,1,1,44.15
"33",2020,4,1,20,1,1,254.39
"34",2022,2,1,20,1,1,66.1
"35",2021,3,1,20,1,1,70.07
"36",2021,7,4,585,2,1,0
"37",2020,7,2,262,17,12,8.0425
"38",2020,4,2,262,17,12,8.0425
"39",2020,12,3,468,2,5,32.69
"40",2021,11,3,468,20,5,9.315
"41",2021,8,2,468,2,10,2.5375
"42",2021,12,2,468,2,10,3.73
"43",2020,5,3,468,17,12,53.39965005
"44",2021,4,3,468,17,12,82.24424055
"45",2021,4,2,468,20,2,5.5825
"46",2021,10,2,468,2,2,16.1425
"47",2020,8,7,468,20,2,0.9075
"48",2020,11,2,564,6,4,23.175
"49",2020,5,2,564,6,4,0
"50",2021,3,6,788,7,5,0
"51",2020,3,2,295,2,8,4.846
"52",2020,4,2,295,2,8,4.846
"53",2021,3,3,295,2,5,7.105
"54",2021,5,3,295,2,5,15.03
"55",2020,9,3,295,17,12,68.8960982
"56",2022,1,3,295,17,12,42.15457245
"57",2020,8,3,295,17,12,47.94598265
"58",2020,9,2,295,17,12,20.545
"59",2021,9,2,295,17,12,19.899
"60",2020,7,7,246,13,5,12.0675
"61",2020,4,7,246,13,5,0
"62",2021,9,7,246,17,12,821.8122415
"63",2022,1,7,246,17,12,410.235
"64",2021,1,7,246,17,12,540.583
"65",2021,2,7,246,17,12,466.3305
"66",2021,2,7,246,6,7,46.4775
"67",2020,11,7,246,6,7,40.8825
"68",2020,7,7,246,6,7,25.515
"69",2020,8,7,246,13,7,5.905
"70",2020,7,7,246,13,7,0
"71",2020,5,7,246,6,7,83.805
"72",2020,9,7,246,6,7,73.2125
"73",2020,3,7,246,6,7,61.28
"74",2021,9,7,246,6,2,11.755
"75",2021,2,7,246,6,2,19.575
"76",2021,7,7,246,6,2,0
"77",2021,12,7,246,6,2,22.43
"78",2020,12,7,246,6,2,2.8875
"79",2021,10,7,246,2,2,23.54
"80",2022,1,7,246,2,2,9.365
"81",2021,10,7,184,17,12,231.49
"82",2021,6,7,184,6,7,7.814
"83",2020,7,1,286,17,12,63.464125
"84",2020,9,1,286,17,12,32.888125
"85",2021,10,2,86,6,3,46.7775
"86",2021,11,2,86,1,3,3.44
"87",2022,1,2,86,1,3,3.44
"88",2020,3,1,86,17,12,625.225
"89",2020,9,5,86,17,12,48.2775645
"90",2021,11,5,86,17,12,43.48
"91",2021,9,7,86,17,12,45.295
"92",2021,9,7,86,6,7,0
"93",2020,10,1,86,6,1,10.54
"94",2020,3,1,86,6,1,23.73
"95",2020,6,4,86,6,1,0
"96",2020,10,3,225,20,6,41.365
"97",2021,3,7,225,17,12,172.103785
"98",2020,5,7,225,17,12,246.122319
"99",2020,12,3,225,17,12,173.3469419
"100",2022,1,7,225,17,12,23.185
"101",2021,12,3,225,17,12,28.496574
"102",2020,3,3,225,20,7,0
"103",2021,12,3,225,20,7,3.5725
"104",2021,4,7,225,20,2,1.1175
"105",2020,12,7,225,20,2,48.04
"106",2021,8,7,225,20,2,33.7
"107",2022,2,7,225,20,2,7.285
"108",2021,7,5,690,17,12,9.77
"109",2021,6,3,601,15,5,34.215
"110",2021,12,3,601,15,5,11.08
"111",2021,8,3,601,17,12,42.0263032
"112",2021,3,3,26,2,5,145.1175
"113",2021,9,3,26,2,5,339.2575
"114",2020,11,6,26,2,5,8.237
"115",2020,12,6,26,2,5,8.237
"116",2022,2,6,26,2,10,11.374
"117",2021,2,3,26,2,10,3.8925
"118",2021,4,3,26,2,10,3.455
"119",2021,1,3,26,2,10,5.3975
"120",2021,6,3,26,2,10,3.455
"121",2021,10,3,26,2,10,2.0425
"122",2020,6,2,26,2,10,22.44
"123",2021,9,2,26,2,10,4.3575
"124",2020,6,2,26,17,12,8930.496309
"125",2021,3,2,26,17,12,2746.080165
"126",2020,3,2,26,17,12,8299.566697
"127",2020,12,2,26,17,12,4311.872298
"128",2021,1,2,26,17,12,4292.318618
"129",2020,10,2,26,17,12,2863.147471
"130",2020,5,3,26,17,12,1275.161331
"131",2021,7,3,26,17,12,926.024994
"132",2021,9,3,26,17,12,785.3229594
"133",2021,1,6,26,17,12,937.9546974
"134",2021,11,6,26,17,12,499.5602816
"135",2020,7,3,26,2,7,16.261
"136",2021,7,3,26,2,7,25.049
"137",2021,9,2,26,2,2,465.905
"138",2021,7,2,26,2,2,327.1506945
"139",2021,6,2,26,2,2,526.63
"140",2020,12,2,26,2,2,428.7375
"141",2020,4,3,26,2,2,562.3819048
"142",2021,11,3,26,2,2,124.8975
"143",2022,1,3,26,2,2,155.5925
"144",2021,7,3,26,2,2,119.0875
"145",2020,5,2,26,3,2,42.88
"146",2020,10,2,26,3,2,54.165
"147",2021,3,6,26,2,2,26.834
"148",2020,7,3,26,17,2,0.68270475
"149",2021,6,3,26,17,2,0
"150",2020,9,2,26,21,2,6.9125
"151",2020,4,2,26,21,2,6.9125
"152",2021,7,2,26,21,2,6.9125
"153",2020,4,6,26,2,2,12.675
"154",2020,3,6,26,2,2,12.675
"155",2021,4,2,26,3,2,11.275
"156",2022,2,2,26,3,2,46.1275
"157",2021,8,2,26,3,2,9.0425
"158",2020,10,1,414,17,12,64.165
"159",2020,11,3,617,2,5,0
"160",2021,4,3,617,17,12,17.7721032
"161",2020,10,3,617,17,12,21.89660575
"162",2021,9,3,617,17,12,17.2039028
"163",2021,11,3,617,17,12,8.84
"164",2020,6,1,227,4,1,0
"165",2020,8,3,223,2,5,21.575
"166",2021,4,3,223,2,5,8.48
"167",2021,7,3,183,2,5,1.9375
"168",2021,11,3,183,17,12,382.9918728
"169",2020,12,3,183,17,12,124.2344606
"170",2021,7,3,183,17,12,429.3772524
"171",2021,2,1,1178,17,12,5.712655
"172",2021,5,1,1178,17,12,0.1437085
"173",2020,4,1,34,17,12,377.257
"174",2020,9,1,34,4,1,215.8275
"175",2020,4,1,34,4,1,154.18
"176",2020,9,1,34,1,1,4.8425
"177",2022,2,2,34,4,1,0
"178",2021,6,5,1179,12,11,0
"179",2021,12,5,1179,12,11,0
"180",2021,3,5,1179,12,11,0
"181",2022,1,3,571,17,12,29.0706515
"182",2021,11,3,571,17,11,1.345824
"183",2021,8,8,899,17,12,1.3510976
"184",2021,3,4,200,6,3,0
"185",2021,10,7,200,17,12,404.423
"186",2021,4,7,200,6,2,299.84
"187",2020,5,7,200,6,2,91.5175
"188",2021,7,12,103,17,12,12.355
"189",2021,6,7,103,17,12,874.654
"190",2021,11,7,103,17,12,346.3465
"191",2021,2,7,103,17,12,515.0345
"192",2020,11,7,103,17,12,208.088
"193",2021,12,7,103,17,12,86.33
"194",2021,5,12,103,23,12,0
"195",2021,6,2,103,17,12,81.073
"196",2020,4,2,103,17,12,21.275
"197",2021,4,2,103,17,12,6.768
"198",2020,6,2,103,17,12,61.97
"199",2020,10,2,103,17,12,61.97
"200",2020,7,7,103,6,7,280.4125
"201",2022,1,7,103,6,7,125.2775
"202",2022,2,7,103,6,7,125.2775
"203",2020,8,7,103,6,7,148.6075
"204",2020,4,2,103,6,7,105.3475
"205",2020,5,2,103,6,7,105.3475
"206",2020,7,2,103,6,7,105.3475
"207",2020,10,2,103,6,7,36.2825
"208",2022,1,2,103,6,7,41.19
"209",2021,2,2,103,6,7,0
"210",2020,9,7,216,17,12,96.383
"211",2020,4,2,216,17,12,110.789
"212",2021,7,2,216,17,12,46.72
"213",2021,9,7,216,17,12,19.9595
"214",2020,7,7,216,17,12,46.219
"215",2020,9,2,216,17,12,0
"216",2020,8,2,216,17,12,20.2495
"217",2020,8,7,216,7,2,113.87
"218",2021,10,7,216,7,2,44.82
"219",2020,3,4,382,17,12,311.604375
"220",2020,10,4,382,17,12,443.203
"221",2020,5,4,382,26,12,0
"222",2020,9,4,382,17,12,175.501
"223",2020,12,4,382,17,12,124.826
"224",2021,10,4,382,17,12,207.787971
"225",2020,6,4,382,17,12,214.794
"226",2021,6,4,382,17,12,128.6245595
"227",2022,1,4,382,17,12,178.569764
"228",2021,7,4,382,26,12,0
"229",2021,3,4,382,26,12,14.4635535
"230",2020,5,4,382,1,12,0
"231",2021,6,4,382,17,12,67.9612535
"232",2021,2,4,382,17,12,435.324805
"233",2021,11,4,382,26,12,0
"234",2021,6,4,382,17,12,141.683331
"235",2021,11,4,382,17,12,1.446
"236",2020,4,4,382,17,12,16.535
"237",2022,2,4,382,26,12,0
"238",2021,2,2,50,3,8,7.0305
"239",2020,9,2,50,17,12,381.9695
"240",2021,4,2,50,17,12,360.9755
"241",2021,1,2,50,17,12,463.3455
"242",2020,5,4,50,17,12,1940.397
"243",2020,9,4,50,17,12,573.3845
"244",2021,2,4,50,17,12,226.171
"245",2020,9,2,50,3,2,41.645
"246",2021,2,2,50,3,2,0
"247",2020,3,2,50,3,2,36.5
"248",2020,4,4,50,3,2,401.5425
"249",2021,11,2,50,3,2,0
"250",2021,7,4,610,17,12,143.6682665
"251",2020,9,3,642,7,5,0.45
"252",2021,12,3,642,7,5,0.7725
"253",2022,1,3,642,7,5,13.0375
"254",2021,8,8,642,7,9,0.986
"255",2021,5,3,362,20,5,0
"256",2020,7,6,362,2,5,11.303
"257",2020,6,6,362,2,5,15.235
"258",2021,11,6,362,2,5,6.7255
"259",2020,5,3,362,2,5,0
"260",2021,11,8,362,20,9,3.883
"261",2021,8,8,362,20,9,19.5175
"262",2021,7,8,362,20,9,2.117
"263",2022,2,8,362,20,9,3.522
"264",2020,12,8,362,2,9,4.102
"265",2021,4,8,362,2,9,1.259
"266",2021,8,8,362,2,9,4.381
"267",2021,9,8,362,2,9,13.839
"268",2020,11,8,362,2,9,4.102
"269",2020,3,8,362,13,9,0
"270",2021,8,6,362,17,12,78.97408825
"271",2021,8,8,362,17,12,47.73328065
"272",2020,9,8,362,17,12,36.7166973
"273",2021,1,6,48,9,6,5.772
"274",2020,6,6,48,17,12,2159.7075
"275",2021,11,6,48,17,12,1287.38
"276",2021,12,6,48,17,12,1351.85
"277",2022,1,6,48,17,12,1329.920186
"278",2021,10,2,82,6,10,0.765
"279",2021,1,5,82,6,10,5.835
"280",2020,6,5,82,6,10,0
"281",2020,3,5,82,17,12,2874.35
"282",2020,9,5,82,17,12,1141.656
"283",2021,9,5,82,17,12,428.299
"284",2021,7,2,82,17,12,109.215
"285",2020,8,1,82,2,1,1.03
"286",2020,4,1,82,2,1,1.03
"287",2020,12,1,82,2,1,1.03
"288",2020,12,5,82,6,2,18.805
"289",2020,6,5,82,6,2,49.2275
"290",2020,12,5,82,1,2,15.2475
"291",2021,8,5,82,6,2,8.0225
"292",2021,11,5,82,6,2,40.42
"293",2020,12,2,82,1,2,11.0375
"294",2020,10,2,82,1,2,7.365
"295",2021,8,2,82,1,2,4.12
"296",2021,8,5,82,1,2,1.53
"297",2021,6,5,82,1,2,4.285
"298",2021,3,5,82,1,2,4.285
"299",2020,11,3,778,17,12,2.7199362
"300",2020,9,3,778,17,12,4.136118
"301",2021,6,2,85,3,8,159.4345
"302",2021,5,2,85,17,12,2340.954
"303",2021,3,2,85,17,12,1157.7385
"304",2020,5,7,455,17,12,60.148216
"305",2020,3,7,455,6,7,19.203
"306",2021,10,3,894,17,12,11.6269517
"307",2021,2,3,894,17,12,2.1980829
"308",2021,2,4,18,16,3,2.01
"309",2020,12,4,18,1,3,1.47
"310",2021,2,4,18,1,3,1.47
"311",2021,9,1,18,17,12,290.304
"312",2020,3,1,18,17,12,4893.284
"313",2021,6,1,18,17,12,45.5585
"314",2020,9,4,18,17,12,214.965
"315",2020,11,1,18,1,1,541.0325
"316",2021,1,4,18,1,2,39.18
"317",2021,2,4,18,1,2,41.52
"318",2021,3,4,18,1,2,23.495
"319",2020,10,1,18,1,2,62.4512445
"320",2020,8,1,18,1,2,4.9325
"321",2020,12,6,763,24,5,9.834
"322",2021,3,6,763,24,5,0
"323",2020,9,2,196,3,8,58.6075
"324",2020,4,2,196,3,8,76.446
"325",2021,4,2,196,3,8,9.135
"326",2021,2,2,196,3,8,9.103
"327",2021,4,2,196,17,12,143
"328",2020,10,4,400,17,12,67.72
"329",2021,8,4,400,17,12,45.34
"330",2021,2,4,400,1,2,43.07
"331",2020,10,4,400,1,2,20.915
"332",2021,6,4,400,1,2,19.34
"333",2021,8,4,400,1,2,0
"334",2021,12,3,217,2,5,217.2625
"335",2021,2,3,217,20,5,0
"336",2021,1,3,217,17,12,125.1454647
"337",2020,10,3,217,17,12,169.3704904
"338",2020,6,3,217,17,12,151.2392613
"339",2021,6,3,217,17,12,219.9698671
"340",2021,12,3,217,17,12,116.4013424
"341",2022,2,3,199,2,5,28.6425
"342",2021,8,3,199,2,5,0
"343",2021,2,6,199,2,5,0
"344",2020,12,3,199,2,5,24.98
"345",2020,5,6,199,2,5,8.35
"346",2021,5,6,199,2,5,9.162
"347",2020,7,7,199,17,12,219.303121
"348",2020,9,7,199,17,12,58.5404248
"349",2020,12,3,199,17,12,13.8065
"350",2021,4,3,199,17,12,63.658
"351",2020,3,3,199,17,12,20.75
"352",2020,4,3,199,17,12,20.75
"353",2020,4,7,199,3,2,159.604814
"354",2022,1,1,789,2,1,3.75
"355",2020,4,3,173,6,6,33.0975
"356",2020,8,3,173,6,6,26.5225
"357",2021,2,6,173,2,6,51.1635
"358",2020,4,6,173,2,6,45.196
"359",2021,5,6,173,2,6,19.3105
"360",2021,12,3,173,12,6,0
"361",2021,1,6,173,2,6,41.8335
"362",2021,6,6,173,2,6,41.2885
"363",2021,12,6,173,6,6,20.754
"364",2020,10,6,173,6,6,0
"365",2020,9,6,173,6,6,0
"366",2020,7,3,173,6,5,14.255
"367",2021,11,3,173,6,5,12.4075
"368",2020,3,3,173,2,5,7.7505
"369",2020,6,3,173,2,5,0
"370",2021,1,6,173,6,5,4.2515
"371",2022,1,3,173,17,12,451.8783358
"372",2020,3,6,173,17,12,178.6290023
"373",2021,10,3,173,17,12,441.0982698
"374",2021,3,6,173,17,12,231.0707675
"375",2021,1,6,173,17,12,121.6354736
"376",2021,11,6,173,17,12,306.6615921
"377",2021,10,6,173,17,12,83.9918772
"378",2021,7,2,173,17,12,21.91
"379",2021,11,3,173,6,7,6.601
"380",2020,4,3,173,6,7,0
"381",2020,8,2,173,2,7,2.3985
"382",2020,4,2,173,2,7,2.3985
"383",2021,1,6,173,6,7,0
"384",2021,4,3,173,6,2,6.33
"385",2020,6,3,173,6,2,5.95
"386",2022,2,2,173,2,2,7.795
"387",2021,6,7,541,17,11,0.731016
"388",2022,1,1,266,12,11,5.900051
"389",2021,3,7,486,6,7,41.34
"390",2021,7,7,486,6,7,23.56
"391",2021,11,7,486,6,7,5.325
"392",2020,11,7,486,6,7,27.41
"393",2021,1,1,123,17,12,132.1263268
"394",2020,6,1,123,1,1,268.56
"395",2021,7,5,128,17,12,200.055
"396",2020,3,5,128,17,12,159.291
"397",2020,4,5,128,17,12,254.7635
"398",2020,9,5,128,1,2,31.315
"399",2022,1,5,128,1,2,8.4725
"400",2022,1,7,29,6,8,7.59675
"401",2022,2,7,29,6,8,7.59675
"402",2021,1,7,29,17,12,4973.012225
"403",2020,11,7,29,17,12,5186.845315
"404",2021,9,7,29,17,12,3630.571812
"405",2020,3,7,29,17,12,1755.25283
"406",2021,10,7,29,17,12,4379.243968
"407",2020,6,3,29,17,12,9.79
"408",2021,10,7,29,6,7,751.45384
"409",2021,2,7,29,10,7,0
"410",2020,9,7,29,10,7,94.13
"411",2021,6,7,29,6,2,2.19375
"412",2020,12,7,850,1,10,10.67
"413",2020,9,3,94,2,6,263.61
"414",2021,1,3,94,2,6,53.46
"415",2021,5,8,94,2,6,253.782
"416",2021,4,8,94,2,6,429.956
"417",2022,2,8,94,2,6,173.466
"418",2020,4,8,94,2,6,10.954
"419",2020,6,8,94,2,6,30.602
"420",2021,8,3,94,6,6,0.8625
"421",2020,12,3,94,6,5,0
"422",2021,12,3,94,6,10,107.535
"423",2020,5,3,94,6,10,50.9975
"424",2021,10,3,94,6,10,75.08
"425",2021,2,3,94,2,10,23.545
"426",2020,12,3,94,2,10,5.8825
"427",2020,6,3,94,2,10,17.1625
"428",2020,9,3,94,2,10,2.8975
"429",2021,6,8,94,2,9,0
"430",2021,8,8,94,2,9,22.226
"431",2021,1,8,94,17,12,672.5745
"432",2021,3,8,94,17,12,1443.2075
"433",2020,10,3,94,17,12,942.6898965
"434",2021,12,6,305,1,5,64.025
"435",2021,5,6,305,1,5,0
"436",2020,12,6,305,1,5,0
"437",2022,2,4,305,17,12,37.7975
"438",2021,12,4,305,17,12,16.1595
"439",2021,9,1,305,17,12,13.9005
"440",2021,1,4,305,17,12,46.01
"441",2020,12,1,305,19,1,24.915
"442",2021,1,2,66,17,12,413.0143704
"443",2021,10,2,66,17,12,250.799488
"444",2021,6,2,66,17,12,808.4387195
"445",2020,7,2,66,17,12,337.9960695
"446",2020,12,2,66,2,2,58.1325
"447",2021,6,2,66,2,2,269.775
"448",2020,10,2,66,2,2,84.4775
"449",2022,2,3,66,2,2,0
"450",2020,4,2,66,8,2,19.18
"451",2020,12,7,367,17,12,101.231
"452",2020,9,7,367,17,12,44.5335
"453",2021,10,2,517,24,7,0
"454",2021,10,7,274,17,12,202.5274686
"455",2021,7,7,274,17,12,303.1502689
"456",2022,2,7,274,17,12,439.506926
"457",2021,3,7,274,17,12,30.4957885
"458",2021,10,1,274,1,7,0
"459",2021,12,7,274,1,7,164.445
"460",2021,1,1,274,1,1,17.7725
"461",2021,3,3,654,17,12,2.565024
"462",2021,8,3,272,6,6,35.6525
"463",2021,6,3,272,6,6,115.0225
"464",2021,10,3,272,6,6,23.8175
"465",2022,1,3,272,6,6,50.475
"466",2021,9,3,272,6,6,36.69
"467",2021,1,7,272,6,6,9.435
"468",2021,4,3,272,17,12,197.0529152
"469",2020,3,3,272,17,12,95.87614205
"470",2020,8,3,272,17,12,52.420014
"471",2021,11,3,272,17,12,167.2742813
"472",2021,12,3,272,17,12,71.0350275
"473",2021,6,3,272,17,12,10.00317835
"474",2022,1,3,272,17,12,114.6435488
"475",2021,9,3,272,17,12,30.3328644
"476",2021,10,3,640,2,5,14.4425
"477",2020,12,3,640,17,12,14.395
"478",2020,6,3,640,17,12,22.23
"479",2021,5,3,37,6,6,13.9575
"480",2021,7,3,37,6,6,110.1525
"481",2020,11,3,37,6,6,11.435
"482",2022,2,3,37,6,6,31.59
"483",2020,7,3,37,6,6,12.45
"484",2022,1,3,37,2,5,19.05
"485",2021,11,3,37,3,5,5.455
"486",2021,6,3,37,3,5,5.455
"487",2022,2,3,37,6,5,0
"488",2020,8,7,37,6,10,13.66
"489",2021,5,7,37,6,10,10.9025
"490",2021,12,3,37,6,10,0
"491",2021,9,3,37,6,10,10.995
"492",2020,3,7,37,17,12,2286.383433
"493",2021,7,7,37,17,12,3992.119759
"494",2022,1,7,37,17,12,2774.319053
"495",2021,12,7,37,17,12,3636.466546
"496",2022,2,7,37,17,12,2660.984723
"497",2020,11,7,37,17,12,1631.262614
"498",2021,2,7,37,17,12,2384.81232
"499",2021,11,3,37,17,12,70.83827675
"500",2021,6,7,37,17,12,3328.184932
"501",2021,3,2,37,17,12,19.945
"502",2020,5,2,37,17,12,32.795
"503",2020,7,2,37,17,12,10.79
"504",2022,1,4,37,17,12,18.4275
"505",2021,5,7,37,6,7,13.721
"506",2022,1,3,37,6,7,0
"507",2021,10,7,37,6,7,23.1355
"508",2021,3,3,37,3,7,2.27
"509",2021,4,3,37,3,7,12.665
"510",2022,2,4,37,6,7,23.355
"511",2020,6,7,37,6,7,28.1875
"512",2020,4,7,37,6,7,4.044
"513",2020,4,7,37,3,7,1.965
"514",2020,10,3,37,3,7,2.27
"515",2020,12,2,37,6,1,2.3625
"516",2021,2,2,37,6,1,2.3625
"517",2020,11,7,37,6,1,4.6175
"518",2020,10,7,37,6,1,4.6175
"519",2021,2,7,37,3,1,0
"520",2021,5,7,37,3,1,10.655
"521",2020,9,1,37,3,1,0
"522",2020,3,7,37,6,2,202.9615
"523",2020,9,7,37,6,2,208.5175
"524",2020,12,7,37,3,2,40.57
"525",2021,10,7,37,3,2,20.18
"526",2021,8,7,37,3,2,91.6975
"527",2020,5,7,323,1,10,23.425
"528",2021,12,7,323,1,10,91.8575
"529",2022,2,7,323,1,10,13.725
"530",2020,6,7,323,1,10,12.9725
"531",2020,7,7,323,1,10,38.1675
"532",2021,8,7,323,17,12,73.52
"533",2021,3,7,323,17,12,47.535
"534",2022,1,2,323,17,12,17.372682
"535",2021,5,10,1162,17,11,0.1177356
"536",2020,11,3,210,2,6,0
"537",2020,7,3,210,2,5,42.5325
"538",2022,1,3,210,2,5,6.5675
"539",2021,12,3,210,17,12,98.99292785
"540",2021,7,3,210,17,12,51.3197815
"541",2020,12,7,210,17,12,50.1555
"542",2020,5,3,210,17,12,41.88476995
"543",2020,12,3,210,17,12,44.1765959
"544",2020,10,3,210,17,12,43.44673
"545",2021,7,7,210,2,1,42.4625
"546",2021,2,6,307,2,6,0
"547",2021,11,6,307,2,6,0
"548",2021,4,6,307,17,12,397.695
"549",2021,8,6,307,17,12,359.2025
"550",2022,1,6,307,17,12,144.725
"551",2020,4,6,307,17,12,81.08625
"552",2020,8,6,307,17,12,38.3425
"553",2022,2,6,307,2,12,73.0495
"554",2020,10,6,307,2,12,62.275
"555",2021,8,6,307,2,12,22.305
"556",2021,5,6,307,2,12,93.9475
"557",2021,2,6,307,2,12,154.61
"558",2021,4,6,307,2,12,104.925
"559",2021,7,10,798,12,11,0.2354712
"560",2020,4,6,75,5,5,7.6465
"561",2020,6,6,75,5,5,7.6465
"562",2022,1,6,75,5,5,6.012
"563",2020,5,7,75,13,10,280.9825
"564",2021,5,7,75,13,10,155.4786683
"565",2021,7,7,75,13,10,252.0071444
"566",2021,12,7,75,13,10,162.667167
"567",2020,8,7,75,5,10,281.5075
"568",2021,6,7,75,5,10,209.2825
"569",2021,5,7,75,5,10,182.8425
"570",2021,9,7,75,5,10,139.4475
"571",2020,6,7,75,5,10,180.705
"572",2020,10,7,75,17,12,3710.430278
"573",2020,5,7,170,26,12,863.3965
"574",2021,8,7,170,26,12,103.5915
"575",2022,1,7,170,26,12,297.542
"576",2020,7,1,170,17,12,10.14
"577",2020,4,1,170,26,12,179.7805
"578",2020,5,1,170,26,12,102.1265
"579",2021,11,7,170,2,2,63.34
"580",2022,2,7,170,2,2,26.435
"581",2020,12,7,170,2,2,128.395
"582",2021,7,7,170,2,2,12.7775
"583",2020,8,7,170,2,2,72.14
"584",2020,5,7,170,2,2,2.47
"585",2020,8,1,170,2,2,19.285
"586",2021,12,2,155,17,12,229.796
"587",2021,1,7,51,17,12,1273.0735
"588",2020,8,7,51,17,12,744.036477
"589",2020,10,7,51,17,12,937.295
"590",2020,6,7,51,17,12,507.389754
"591",2020,9,7,51,17,12,802.4605
