"","year","month","plant_ID","customer_ID","market_code","material_type_ID","shipped_tons"
"1",2020,4,1,1,1,1,13847.458
"2",2020,3,1,1,1,1,11661.6185
"3",2018,4,1,2,2,2,10988.3045
"4",2021,11,1,3,2,1,10092.3045
"5",2018,5,1,2,2,2,9719.5505
"6",2022,1,1,3,2,1,9500.887
"7",2019,4,1,2,2,2,9448.324
"8",2018,10,1,2,2,2,9338.595
"9",2018,1,1,2,2,2,9129.919
"10",2021,10,1,3,2,1,9017.728
"11",2021,6,1,3,2,1,8965.955
"12",2021,3,1,3,2,1,8911.7175
"13",2019,1,1,2,2,2,8826.8
"14",2018,3,1,2,2,2,8614.5035
"15",2019,10,1,1,1,1,8602.23
"16",2019,3,1,2,2,2,8510.097
"17",2017,6,1,2,2,2,8467.7555
"18",2021,9,1,3,2,1,8399.707
"19",2018,2,1,2,2,2,8329.389
"20",2018,6,1,2,2,2,8125.6045
"21",2021,1,1,2,2,2,8047.128
"22",2017,10,1,2,2,2,8008.1225
"23",2018,9,1,2,2,2,7861.799
"24",2018,11,1,2,2,2,7794.0645
"25",2018,8,1,2,2,2,7768.8895
"26",2021,2,1,2,2,2,7753.989
"27",2021,3,1,2,2,2,7736.7265
"28",2022,1,1,2,2,2,7654.547
"29",2021,8,1,3,2,1,7555.4015
"30",2021,7,1,2,2,2,7466.1475
"31",2019,7,1,2,2,2,7429.6775
"32",2017,11,1,2,2,2,7423.335
"33",2021,4,1,2,2,2,7329.9475
"34",2020,1,1,2,2,2,7314.0545
"35",2020,9,1,2,2,2,7299.2995
"36",2019,2,1,2,2,2,7252.9945
"37",2019,7,2,4,3,3,7152.2775
"38",2021,7,1,3,2,1,7123.014
"39",2020,2,1,2,2,2,7101.856
"40",2020,10,1,2,2,2,7083.713
"41",2021,12,1,3,2,1,7081.4535
"42",2017,7,1,2,2,2,7072.684
"43",2021,4,1,3,2,1,7049.692
"44",2018,7,1,2,2,2,7038.385
"45",2020,3,1,5,4,1,7033.003
"46",2020,8,1,2,2,2,6955.1685
"47",2021,11,1,2,2,2,6744.9215
"48",2021,6,1,2,2,2,6738.5995
"49",2019,9,1,1,1,1,6726.51
"50",2021,5,1,3,2,1,6666.7635
"51",2019,5,1,2,2,2,6646.9355
"52",2020,5,1,1,1,1,6584.5725
"53",2021,9,1,2,2,2,6561.9655
"54",2019,4,2,4,3,3,6541.3925
"55",2019,5,2,4,3,3,6417.1275
"56",2020,11,1,2,2,2,6328.736
"57",2019,2,2,4,3,3,6227.645
"58",2019,8,1,2,2,2,6213.835
"59",2021,1,1,3,2,1,6204.074
"60",2021,3,1,3,2,2,6177.1555
"61",2017,9,1,2,2,2,6117.0675
"62",2019,1,2,4,3,3,6100.025
"63",2020,12,1,2,2,2,6097.7365
"64",2018,8,1,5,4,1,6070.805
"65",2019,10,1,3,2,1,6060.898
"66",2021,8,1,2,2,2,6048.377
"67",2019,6,1,2,2,2,6038.6385
"68",2017,8,1,2,2,2,5990.214
"69",2021,5,1,2,2,2,5983.581
"70",2018,10,2,4,3,3,5934.835
