Year,Month ,Plant,Customer ,Primary Market Code ,Material Type,Available Tons 
2020,March,Plant_4,Customer_118,Primary_Market_Code_17,Material_Type_12,141.675
2021,March,Plant_4,Customer_118,Primary_Market_Code_17,Material_Type_12,9.095
2020,April,Plant_1,Customer_118,Primary_Market_Code_7,Material_Type_1,360.169
2020,September,Plant_4,Customer_118,Primary_Market_Code_7,Material_Type_1,128.085
2021,February,Plant_4,Customer_118,Primary_Market_Code_7,Material_Type_1,203.485
2021,January,Plant_1,Customer_369,Primary_Market_Code_17,Material_Type_12,316.165
2020,November,Plant_1,Customer_369,Primary_Market_Code_17,Material_Type_12,121.983
2022,January,Plant_8,Customer_369,Primary_Market_Code_17,Material_Type_12,0.2544116
2021,May,Plant_10,Customer_369,Primary_Market_Code_17,Material_Type_11,0.4709424
2020,December,Plant_1,Customer_369,Primary_Market_Code_2,Material_Type_1,0
2021,July,Plant_1,Customer_369,Primary_Market_Code_2,Material_Type_1,22.37
2020,April,Plant_1,Customer_369,Primary_Market_Code_2,Material_Type_1,57.79
2021,June,Plant_1,Customer_369,Primary_Market_Code_2,Material_Type_1,22.37
2022,January,Plant_1,Customer_369,Primary_Market_Code_2,Material_Type_1,22.37
2021,March,Plant_1,Customer_369,Primary_Market_Code_2,Material_Type_1,0
2021,September,Plant_7,Customer_248,Primary_Market_Code_17,Material_Type_12,3.201905
2021,June,Plant_1,Customer_248,Primary_Market_Code_17,Material_Type_12,2.39437285
2021,October,Plant_1,Customer_248,Primary_Market_Code_17,Material_Type_12,0.3913536
2020,April,Plant_7,Customer_248,Primary_Market_Code_12,Material_Type_11,6.534597
2021,June,Plant_7,Customer_248,Primary_Market_Code_12,Material_Type_11,8.38794
2021,September,Plant_7,Customer_248,Primary_Market_Code_12,Material_Type_11,1.74208375
2022,February,Plant_7,Customer_492,Primary_Market_Code_17,Material_Type_12,1830.8635
2022,January,Plant_7,Customer_492,Primary_Market_Code_20,Material_Type_2,0
2021,March,Plant_7,Customer_492,Primary_Market_Code_20,Material_Type_2,3.1725
2021,July,Plant_1,Customer_439,Primary_Market_Code_17,Material_Type_12,40.69
2020,December,Plant_1,Customer_439,Primary_Market_Code_17,Material_Type_12,0
2021,January,Plant_1,Customer_439,Primary_Market_Code_26,Material_Type_1,0
2021,March,Plant_1,Customer_439,Primary_Market_Code_26,Material_Type_1,59.96
2020,November,Plant_1,Customer_439,Primary_Market_Code_26,Material_Type_1,0
2022,January,Plant_1,Customer_439,Primary_Market_Code_26,Material_Type_1,39.93
2020,March,Plant_1,Customer_20,Primary_Market_Code_1,Material_Type_1,666.82
2021,August,Plant_1,Customer_20,Primary_Market_Code_1,Material_Type_1,44.15
2020,April,Plant_1,Customer_20,Primary_Market_Code_1,Material_Type_1,254.39
2022,February,Plant_1,Customer_20,Primary_Market_Code_1,Material_Type_1,66.1
2021,March,Plant_1,Customer_20,Primary_Market_Code_1,Material_Type_1,70.07
2021,July,Plant_4,Customer_585,Primary_Market_Code_2,Material_Type_1,0
