Year,Month Name,Plant,Customer Name ,Primary Market Code ,Material Type,Booked Tons
2021,December,Plant_1,Customer_8,Primary_Market_Code_1,Material_Type_1,30441.49
2020,January,Plant_1,Customer_1,Primary_Market_Code_1,Material_Type_1,22086.398
2022,January,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,17825.3965
2021,December,Plant_1,Customer_16,Primary_Market_Code_1,Material_Type_4,15605.837
2019,July,Plant_1,Customer_1,Primary_Market_Code_1,Material_Type_1,15018.765
2022,January,Plant_2,Customer_4,Primary_Market_Code_3,Material_Type_3,14765.5637
2018,March,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,12674.07016
2019,August,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,12281.7095
2022,January,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,11965.46486
2022,January,Plant_1,Customer_8,Primary_Market_Code_1,Material_Type_1,11137.5
2021,January,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,11063.30308
2018,January,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,10708.49
2020,January,Plant_1,Customer_12,Primary_Market_Code_1,Material_Type_1,10603.01
2021,December,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,10132.956
2020,December,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,10009.21437
2018,August,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,9935.257265
2020,October,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,9737.411208
2018,May,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,9716.041691
2020,June,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,9486.6245
2020,September,Plant_1,Customer_6,Primary_Market_Code_1,Material_Type_1,9459.87
2019,January,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,9310.310633
2018,October,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,9259.118185
2021,January,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,9107.255
2021,February,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,9097.588
2021,March,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,9090.2455
2020,December,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,8946.6365
2021,November,Plant_1,Customer_16,Primary_Market_Code_1,Material_Type_4,8649.1615
2020,January,Plant_1,Customer_5,Primary_Market_Code_4,Material_Type_1,8489.454
2018,April,Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,8464.15
