Plant,Customer ,Primary Market Code,Material Type ,Available Tons
Plant_3,Customer_328,Primary_Market_Code_2,Material_Type_6,162.1475
Plant_3,Customer_219,Primary_Market_Code_2,Material_Type_6,75.3
Plant_3,Customer_173,Primary_Market_Code_6,Material_Type_6,165.5425
Plant_3,Customer_998,Primary_Market_Code_1,Material_Type_6,0
Plant_3,Customer_94,Primary_Market_Code_6,Material_Type_6,0.8625
Plant_3,Customer_115,Primary_Market_Code_2,Material_Type_6,2.138
Plant_3,Customer_765,Primary_Market_Code_2,Material_Type_6,4.355
Plant_3,Customer_115,Primary_Market_Code_6,Material_Type_5,1.295
Plant_3,Customer_199,Primary_Market_Code_2,Material_Type_5,28.6425
Plant_3,Customer_35,Primary_Market_Code_2,Material_Type_5,5.42
Plant_3,Customer_67,Primary_Market_Code_2,Material_Type_5,139.18
Plant_3,Customer_134,Primary_Market_Code_3,Material_Type_5,130.8825
Plant_3,Customer_296,Primary_Market_Code_2,Material_Type_5,8.22
Plant_3,Customer_468,Primary_Market_Code_2,Material_Type_5,51.0775
Plant_3,Customer_636,Primary_Market_Code_10,Material_Type_5,26.3375
Plant_3,Customer_143,Primary_Market_Code_2,Material_Type_5,0
Plant_3,Customer_992,Primary_Market_Code_2,Material_Type_5,5.855
Plant_3,Customer_450,Primary_Market_Code_2,Material_Type_5,76.01
Plant_3,Customer_889,Primary_Market_Code_21,Material_Type_5,0
Plant_3,Customer_496,Primary_Market_Code_24,Material_Type_5,5.2075
Plant_3,Customer_548,Primary_Market_Code_1,Material_Type_5,1.165
Plant_3,Customer_388,Primary_Market_Code_1,Material_Type_5,0
Plant_3,Customer_215,Primary_Market_Code_2,Material_Type_5,38.375
Plant_3,Customer_345,Primary_Market_Code_3,Material_Type_5,52.5825
Plant_3,Customer_880,Primary_Market_Code_10,Material_Type_5,0
Plant_3,Customer_473,Primary_Market_Code_2,Material_Type_5,2.61
Plant_3,Customer_159,Primary_Market_Code_2,Material_Type_5,66.46481175
Plant_3,Customer_704,Primary_Market_Code_1,Material_Type_5,7.22
Plant_3,Customer_856,Primary_Market_Code_1,Material_Type_5,3.985
Plant_3,Customer_115,Primary_Market_Code_6,Material_Type_10,12.37
Plant_3,Customer_495,Primary_Market_Code_20,Material_Type_10,41.405
Plant_3,Customer_94,Primary_Market_Code_6,Material_Type_10,73.285
Plant_3,Customer_130,Primary_Market_Code_6,Material_Type_10,2.925
Plant_3,Customer_344,Primary_Market_Code_10,Material_Type_10,29.3975
Plant_3,Customer_28,Primary_Market_Code_17,Material_Type_12,1695.065332
Plant_3,Customer_173,Primary_Market_Code_17,Material_Type_12,577.8253765
Plant_3,Customer_468,Primary_Market_Code_17,Material_Type_12,24.9311235
Plant_3,Customer_26,Primary_Market_Code_17,Material_Type_12,776.1177569
Plant_3,Customer_295,Primary_Market_Code_17,Material_Type_12,35.7936337
Plant_3,Customer_370,Primary_Market_Code_17,Material_Type_12,164.781239
Plant_3,Customer_821,Primary_Market_Code_17,Material_Type_12,38.7565
Plant_3,Customer_366,Primary_Market_Code_17,Material_Type_12,4.783136
Plant_3,Customer_37,Primary_Market_Code_17,Material_Type_12,134.4754775
Plant_3,Customer_279,Primary_Market_Code_17,Material_Type_12,24.5812002
Plant_3,Customer_296,Primary_Market_Code_17,Material_Type_12,90.84
Plant_3,Customer_100,Primary_Market_Code_17,Material_Type_12,55.3305
Plant_3,Customer_37,Primary_Market_Code_6,Material_Type_7,0
Plant_3,Customer_256,Primary_Market_Code_1,Material_Type_7,4.4275
Plant_3,Customer_435,Primary_Market_Code_17,Material_Type_11,0.182885
Plant_3,Customer_371,Primary_Market_Code_12,Material_Type_11,0.2187675
Plant_3,Customer_24,Primary_Market_Code_2,Material_Type_2,202.24
Plant_7,Customer_16,Primary_Market_Code_1,Material_Type_3,12.735
Plant_7,Customer_208,Primary_Market_Code_6,Material_Type_8,114.215
Plant_7,Customer_84,Primary_Market_Code_6,Material_Type_8,178.33325
Plant_7,Customer_613,Primary_Market_Code_10,Material_Type_10,0
Plant_7,Customer_406,Primary_Market_Code_17,Material_Type_12,52.477075
Plant_7,Customer_144,Primary_Market_Code_17,Material_Type_12,1345.364385
Plant_7,Customer_267,Primary_Market_Code_17,Material_Type_12,241.463418
Plant_7,Customer_3,Primary_Market_Code_17,Material_Type_12,759.0512884
Plant_7,Customer_708,Primary_Market_Code_17,Material_Type_12,37.39369645
Plant_7,Customer_84,Primary_Market_Code_17,Material_Type_12,1629.873175
Plant_7,Customer_373,Primary_Market_Code_17,Material_Type_12,287.98
Plant_7,Customer_898,Primary_Market_Code_17,Material_Type_12,22.465
Plant_7,Customer_103,Primary_Market_Code_17,Material_Type_12,64.5
Plant_7,Customer_87,Primary_Market_Code_17,Material_Type_12,6.657
Plant_7,Customer_470,Primary_Market_Code_17,Material_Type_12,1.6840625
Plant_7,Customer_423,Primary_Market_Code_17,Material_Type_12,79.0575
Plant_7,Customer_269,Primary_Market_Code_17,Material_Type_12,95.2310446
Plant_7,Customer_19,Primary_Market_Code_6,Material_Type_7,21.045
Plant_7,Customer_1004,Primary_Market_Code_11,Material_Type_7,0
Plant_7,Customer_274,Primary_Market_Code_1,Material_Type_7,24.73
Plant_7,Customer_51,Primary_Market_Code_6,Material_Type_7,95.845
Plant_7,Customer_455,Primary_Market_Code_6,Material_Type_7,0
Plant_7,Customer_144,Primary_Market_Code_6,Material_Type_13,9.0225
Plant_7,Customer_15,Primary_Market_Code_12,Material_Type_11,137.0915905
Plant_7,Customer_485,Primary_Market_Code_17,Material_Type_11,3.3511705
Plant_7,Customer_767,Primary_Market_Code_17,Material_Type_11,1.3972677
Plant_7,Customer_77,Primary_Market_Code_12,Material_Type_11,51.9336008
Plant_7,Customer_137,Primary_Market_Code_1,Material_Type_1,27.6875
Plant_7,Customer_2,Primary_Market_Code_2,Material_Type_1,40.7225
Plant_7,Customer_423,Primary_Market_Code_6,Material_Type_1,88.8525
Plant_7,Customer_522,Primary_Market_Code_6,Material_Type_2,6.59
Plant_7,Customer_33,Primary_Market_Code_3,Material_Type_2,0
Plant_7,Customer_253,Primary_Market_Code_20,Material_Type_2,24.25
Plant_7,Customer_566,Primary_Market_Code_6,Material_Type_2,20.26
Plant_2,Customer_323,Primary_Market_Code_2,Material_Type_3,8.4075
Plant_2,Customer_3,Primary_Market_Code_2,Material_Type_8,159.9815
Plant_2,Customer_9,Primary_Market_Code_5,Material_Type_4,27.71
Plant_2,Customer_220,Primary_Market_Code_10,Material_Type_10,0
Plant_2,Customer_24,Primary_Market_Code_17,Material_Type_12,3592.228188
Plant_2,Customer_204,Primary_Market_Code_17,Material_Type_12,883.2915
Plant_2,Customer_195,Primary_Market_Code_26,Material_Type_12,5.0122175
Plant_2,Customer_59,Primary_Market_Code_17,Material_Type_12,956.5133107
Plant_2,Customer_317,Primary_Market_Code_17,Material_Type_12,2.16605305
Plant_2,Customer_142,Primary_Market_Code_17,Material_Type_12,603.175
Plant_2,Customer_213,Primary_Market_Code_17,Material_Type_11,26.80539
Plant_2,Customer_376,Primary_Market_Code_12,Material_Type_11,21.9825
Plant_2,Customer_220,Primary_Market_Code_1,Material_Type_2,15.335
Plant_2,Customer_142,Primary_Market_Code_1,Material_Type_2,0
Plant_2,Customer_263,Primary_Market_Code_2,Material_Type_2,16.9325
Plant_2,Customer_100,Primary_Market_Code_2,Material_Type_2,10.845
Plant_2,Customer_216,Primary_Market_Code_7,Material_Type_2,96.515
Plant_2,Customer_497,Primary_Market_Code_20,Material_Type_2,9.6975
Plant_1,Customer_24,Primary_Market_Code_2,Material_Type_3,23.09
Plant_1,Customer_24,Primary_Market_Code_2,Material_Type_10,18.152
Plant_1,Customer_519,Primary_Market_Code_17,Material_Type_12,5.58028
Plant_1,Customer_426,Primary_Market_Code_17,Material_Type_12,22.2326245
Plant_1,Customer_234,Primary_Market_Code_17,Material_Type_12,244.0597153
Plant_1,Customer_45,Primary_Market_Code_17,Material_Type_12,366.06
Plant_1,Customer_166,Primary_Market_Code_17,Material_Type_12,457.268
Plant_1,Customer_1153,Primary_Market_Code_17,Material_Type_12,23.665
Plant_1,Customer_382,Primary_Market_Code_17,Material_Type_12,440.2840062
Plant_1,Customer_1167,Primary_Market_Code_17,Material_Type_12,0.173888
Plant_1,Customer_375,Primary_Market_Code_17,Material_Type_12,2.439866
