Year,Month Name,Plant ,Customer Name ,Primary Market Code ,Material Type,Shipped Tons
2020,April,Plant_1,Customer_1,Primary_Market_Code_1,Material_Type_1,13847.458
2020,March,Plant_1,Customer_1,Primary_Market_Code_1,Material_Type_1,11661.6185
2018,April,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,10988.3045
2021,November,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,10092.3045
2018,May,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,9719.5505
2022,January,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,9500.887
2019,April,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,9448.324
2018,October,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,9338.595
2018,January,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,9129.919
2021,October,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,9017.728
2021,June,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,8965.955
2021,March,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,8911.7175
2019,January,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,8826.8
2018,March,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,8614.5035
2019,October,Plant_1,Customer_1,Primary_Market_Code_1,Material_Type_1,8602.23
2019,March,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,8510.097
2017,June,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,8467.7555
2021,September,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,8399.707
2018,February,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,8329.389
2018,June,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,8125.6045
2021,January,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,8047.128
2017,October,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,8008.1225
2018,September,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,7861.799
2018,November,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,7794.0645
2018,August,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,7768.8895
2021,February,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,7753.989
2021,March,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,7736.7265
2022,January,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,7654.547
2021,August,Plant_1,Customer_3,Primary_Market_Code_2,Material_Type_1,7555.4015
2021,July,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,7466.1475
2019,July,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,7429.6775
2017,November,Plant_1,Customer_2,Primary_Market_Code_2,Material_Type_2,7423.335
